"Year","Total_CO2","CO2_Gas.Fuel","CO2_liquid.fuel","CO2_solid.fuel","CO2_cement","land.temp","CSIRO Adjusted Sea Level","Lower Error Bound","Upper Error Bound","Land and Ocean","N Hem","S Hem"
1937-03-15,"1209","38",219,941,11,0.03,2.519685037,2.055118108,2.984251965,0.03,0.18,-0.12
1938-03-15,"1142","37",214,880,12,0.09,2.622047241,2.157480313,3.08661417,0.06,0.22,-0.11
1939-03-15,"1192","38",222,918,13,-0.1,2.826771651,2.346456691,3.307086611,0.01,0.13,-0.12
1940-03-15,"1299","42",229,1017,11,0.08,2.618110234,2.18110236,3.055118107,0.07,0.14,-0.01
1941-03-15,"1334","42",236,1043,12,0.06,3.098425194,2.673228344,3.523622044,0.08,0.13,0.03
1942-03-15,"1342","45",222,1063,11,0.07,3.098425194,2.673228344,3.523622044,0.05,0.11,-0.01
1943-03-15,"1391","50",239,1092,10,0.01,3.098425194,2.673228344,3.523622044,0.06,0.17,-0.06
1944-03-15,"1383","54",275,1047,7,0.06,2.84645669,2.425196848,3.267716532,0.14,0.24,0.03
1945-03-15,"1160","59",275,820,7,-0.06,2.95669291,2.535433068,3.377952752,0.01,0.04,-0.03
1946-03-15,"1238","61",292,875,10,-0.05,3.251968501,2.834645666,3.669291335,-0.07,0.01,-0.16
1947-03-15,"1392","67",322,992,12,0.08,3.374015745,2.996062989,3.7519685,-0.04,0.08,-0.16
1948-03-15,"1469","76",364,1015,14,-0.06,3.562992122,3.19685039,3.929133854,-0.1,-0.01,-0.19
1949-03-15,"1419","81",362,960,16,-0.1,3.51181102,3.181102359,3.842519681,-0.11,-0.03,-0.19
1950-03-15,"1630","97",423,1070,18,-0.21,3.598425193,3.287401571,3.909448815,-0.19,-0.17,-0.2
1951-03-15,"1767","115",479,1129,20,-0.06,3.972440941,3.665354327,4.279527555,-0.06,0.06,-0.18
1952-03-15,"1795","124",504,1119,22,-0.01,3.870078736,3.56692913,4.173228342,0.02,0.06,-0.03
1953-03-15,"1841","131",533,1125,24,0.08,4.043307082,3.748031492,4.338582673,0.09,0.23,-0.05
1954-03-15,"1865","138",557,1116,27,-0.12,3.929133854,3.64173228,4.216535429,-0.11,-0.03,-0.2
1955-03-15,"2042","150",625,1208,30,-0.11,3.964566925,3.685039366,4.244094484,-0.12,-0.09,-0.16
1956-03-15,"2177","161",679,1273,32,-0.22,3.763779524,3.488188973,4.039370075,-0.18,-0.24,-0.12
1957-03-15,"2270","178",714,1309,34,0.03,4.291338578,4.019685035,4.562992121,0.03,0.04,0.02
1958-03-15,"2330","192",731,1336,36,0.07,4.346456688,4.086614169,4.606299208,0.05,0.15,-0.06
1959-03-15,"2454","206",789,1382,40,0.04,4.358267712,4.102362201,4.614173224,0.03,0.1,-0.05
1960-03-15,"2569","227",849,1410,43,-0.02,4.503937003,4.244094484,4.763779523,-0.04,0.07,-0.15
1961-03-15,"2580","240",904,1349,45,0.08,4.748031491,4.488188972,5.007874011,0.05,0.09,0.02
1962-03-15,"2686","263",980,1351,49,0.02,4.543307082,4.283464563,4.803149601,0.04,0.17,-0.09
1963-03-15,"2833","286",1052,1396,51,0.02,4.480314956,4.220472437,4.740157475,0.08,0.17,-0.02
1964-03-15,"2995","316",1137,1435,57,-0.25,4.169291334,3.905511807,4.433070862,-0.19,-0.19,-0.2
1965-03-15,"3130","337",1219,1460,59,-0.16,4.610236216,4.346456688,4.874015743,-0.1,-0.13,-0.08
1966-03-15,"3288","364",1323,1478,63,-0.06,4.397637791,4.137795271,4.65748031,-0.04,0,-0.08
1967-03-15,"3393","392",1423,1448,65,0,4.452755901,4.196850389,4.708661413,-0.01,0.04,-0.05
1968-03-15,"3566","424",1551,1448,70,-0.08,4.484251964,4.220472437,4.748031491,-0.05,-0.04,-0.06
1969-03-15,"3780","467",1673,1486,74,0.02,4.751968499,4.476377948,5.02755905,0.06,-0.01,0.14
1970-03-15,"4053","493",1839,1556,78,0.07,4.67716535,4.401574799,4.9527559,0.04,-0.03,0.11
1971-03-15,"4208","530",1947,1559,84,-0.09,4.881889759,4.610236216,5.153543302,-0.07,-0.13,0
1972-03-15,"4376","560",2057,1576,89,-0.04,5.240157475,4.968503932,5.511811018,0.02,-0.17,0.21
1973-03-15,"4614","588",2241,1581,95,0.21,5.003937003,4.736220468,5.271653538,0.15,0.11,0.2
1974-03-15,"4623","597",2245,1579,96,-0.05,5.472440939,5.204724404,5.740157474,-0.07,-0.2,0.05
1975-03-15,"4596","604",2132,1673,95,0.01,5.409448813,5.145669286,5.673228341,-0.01,-0.05,0.02
1976-03-15,"4864","630",2314,1710,103,-0.19,5.370078735,5.1023622,5.63779527,-0.12,-0.23,-0.02
1977-03-15,"5016","650",2398,1756,108,0.19,5.303149601,5.043307081,5.56299212,0.14,0.1,0.19
1978-03-15,"5074","680",2392,1780,116,0.13,5.555118105,5.291338577,5.818897632,0.05,-0.01,0.12
1979-03-15,"5357","721",2544,1875,119,0.18,5.362204719,5.098425192,5.625984246,0.11,0.04,0.19
1980-03-15,"5301","737",2422,1935,120,0.33,5.598425191,5.34251968,5.854330703,0.22,0.13,0.32
1981-03-15,"5138","755",2289,1908,121,0.42,6.086614167,5.830708655,6.342519679,0.28,0.35,0.21
1982-03-15,"5094","738",2196,1976,121,0.12,5.858267711,5.610236215,6.106299206,0.09,0.03,0.15
1983-03-15,"5075","739",2176,1977,125,0.36,6.188976372,5.93307086,6.444881883,0.27,0.23,0.3
1984-03-15,"5258","807",2199,2074,128,0.19,6.153543301,5.905511805,6.401574797,0.11,0.01,0.22
1985-03-15,"5417","835",2186,2216,131,0.18,5.74803149,5.499999994,5.996062986,0.08,-0.03,0.18
1986-03-15,"5583","830",2293,2277,137,0.22,5.771653537,5.523622042,6.019685033,0.14,0.1,0.18
1987-03-15,"5725","892",2306,2339,143,0.38,5.795275585,5.551181097,6.039370073,0.28,0.23,0.33
1988-03-15,"5936","935",2412,2387,152,0.48,5.980314955,5.732283459,6.22834645,0.35,0.33,0.37
1989-03-15,"6066","982",2459,2428,156,0.35,6.157480309,5.905511805,6.409448812,0.24,0.25,0.22
1990-03-15,"6074","1026",2492,2359,157,0.5,6.232283458,5.972440939,6.492125978,0.39,0.47,0.3
1991-03-15,"6142","1051",2601,2284,161,0.5,6.334645663,6.074803143,6.594488182,0.38,0.38,0.37
1992-03-15,"6078","1085",2499,2290,167,0.21,6.35826771,6.094488183,6.622047237,0.19,0.09,0.28
1993-03-15,"6070","1117",2515,2225,176,0.25,6.291338576,6.027559049,6.555118104,0.2,0.17,0.24
1994-03-15,"6174","1133",2539,2278,186,0.36,6.499999993,6.236220466,6.763779521,0.28,0.35,0.21
1995-03-15,"6305","1151",2560,2359,197,0.54,6.618110229,6.354330702,6.881889757,0.42,0.57,0.27
1996-03-15,"6448","1198",2626,2382,203,0.46,6.787401568,6.523622041,7.051181095,0.32,0.26,0.37
1997-03-15,"6556","1197",2701,2409,209,0.52,7.066929127,6.803149599,7.330708654,0.45,0.53,0.36
1998-03-15,"6576","1224",2763,2343,209,0.81,6.665354324,6.393700781,6.937007867,0.61,0.72,0.49
1999-03-15,"6561","1258",2741,2310,217,0.56,7.011811016,6.736220466,7.287401567,0.39,0.5,0.28
